title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,notes,timepoints,time_type,doses,human_disease,human_atlas,human_dataset,vaccine_type,pathogen_type,target_pathogen,target_antigen,viral_vector,adjuvanted,sample_source,administration_route,sequencing,organism_name
CARD9-associated Dectin-1 and Dectin-2 are Required for Protective Immunity of a Multivalent Vaccine Against Coccidioides posadasii Infection,"Preparation of sequencing libraries and sequencing analysis using Illumina HiSeq 3000 platform (50 bp single-read module) were conducted at the Genomics Core of UT Health San Antonio. Sequencing reads were preprocessed by Trim Sequences tools in CLC Genomics workbench. Remaining reads were then aligned to mouse GRCm38(mm10) reference genome using RNA-Seq Analysis module in CLC Genomics workbench. To determine differentially expressed genes, exact test were performed after filtering lowly expressed gene (counts per million < 1 in more than three samples across the dataset) using edgeR package (Robinson, McCarthy et al. 2010). Gene Ontology (GO) analysis were performed using DAVID (Dennis, Sherman et al. 2003) and then visualized by GOplot (Walter, Sanchez-Cabo et al. 2015). Overall design: BMMs were incubated with GCP-rCpa1 at a ratio of 50:1 for 12 hours with 5% CO2. BMMs incubated with PBS served as controls. Total RNA was isolated from BMMs cells using the Qiagen RNeasy kit.","coccidioides, bulk, BMM cells, ?",GSE133140,550079,,,NA,,,Yes,No,,Subunit,fungi,Coccidioides posadasii,GCP-rCpa1,NA,NA,BMM cells,?,Bulk,Mus musculus
Innate cells and STAT1-dependent signals orchestrate vaccine-induced protection against invasive Cryptococcus infection,"Fungal pathogens are underappreciated causes of significant morbidity and mortality worldwide. In previous studies we determined that a heat-killed, Cryptococcus neoformans fbp1-deficient strain (HK-fbp1) is a potent vaccine candidate. We determined that vaccination with HK-fbp1 confers protective immunity against lethal Cryptococcosis in an interferon γ (IFNγ)-dependent manner. In this study, we set out to uncover cellular sources and relevant targets of the protective effects of IFNγ in response to the HK-fbp1 vaccine. We found that early IFNγ production peaks at day 3 and that monocytes and neutrophils are important sources of this cytokine after vaccination. Neutralization of IFNγ at day 3 results in impaired CCR2+ monocyte recruitment and reduced differentiation into monocyte-derived dendritic cells (Mo-DC). In turn, depletion of CCR2+ cells prior to immunization results in impaired activation of IFNγ-producing CD4 and CD8 T cells. Thus, monocytes are important targets of innate IFNγ and help promote further IFNγ production by lymphocytes. We employed monocyte-fate mapper and conditional STAT1 knockout mice to uncover that STAT1 activation in CD11c+ cells, including alveolar macrophages, Mo-DCs, and monocyte-derived macrophages (Mo-Mac) is essential for HK-fbp1 vaccine-induced protection. Altogether, our aggregate findings suggest critical roles for innate cells as orchestrators of vaccine-induced protection against Cryptococcus infection. Overall design: We hypothesize that the important roles observed for both CCR2+ and CD11c+ cells might be connected to the interrelationship of these populations where CCR2+ monocytes give rise to important CD11c+ effectors that no longer express CCR2. Thus, we set out to examine whether monocytes give rise to alveolar macrophages after HK-fbp1 immunization. To this end, we employed CX3CR1CreER tamoxifen- inducible cre mice crossed to Rosa26floxedTdTomato mice. This model allows us examine murine macrophage and monocyte fate mapping analysis by administration of tamoxifen.  We injected mice with 2.5mg tamoxifen on day -1 on CX3CR1CreER x RosaR26TdTomato mice (monocyte fate mapper), and immunized mice with HK-fbp1 on day 0. On day 30 post vaccination, we sacrificed mice, and sorted tissue-derived alveolar macrophage (TD-AMs, CD45+DAPI-CD11c+SiglecFhi TdTomato-) and monocyte-derived AMs (Mo-AMs, CD45+DAPI-CD11c+SiglecFhi TdTomato+) the lung. Naive control is from Dr. Dane Park's group previous sorted naive AMs. We then performed gene expression profiling analysis on these sorted cell population.","cryptococcus neoformans, lungs",GSE271485,1131807,,NA,NA,,,Yes,No,,Attenuated,fungi,Cryptococcus neoformans,Whole,NA,NA,Lungs,?,Bulk,Mus musculus
Dengue specific immunoglobulin repertoires comparison between the repeated and epitope-decreased immunizations,"This study aims to under the characteristics and diversitification of Dengue speicific immunoglobulin repertoires after different immunization strategies in mouse. We propose two different immunization strategies in dengue vaccine development, one is repeated strategy, which DENV1 virus  and administrated three times. The other one is epitope-decreased sequential strategy, which sequetially administrated DENV1 virus, DENV1 E protein and DENV1 E protein domain III subunit. Overall design: C57BL/6J (B6) mice were injected with either repeated or sequential strategy.  The Dengue specific B cells were fished out from immunized mice splenocytes by Dengue Env protein probes. After cDNA and Ig specific amplification, the RNA-seq libraries were preparated and subjected to MiSeq V3 2 × 301 bp sequencing.","dengue, denv1 E, D3, b cells, spleen",GSE154371,645965,645965_ed3,NA,NA,,,Yes,No,,Subunit,virus,Dengue virus,ED3,NA,NA,Spleen (B cells),?,Bulk,Mus musculus
Dengue specific immunoglobulin repertoires comparison between the repeated and epitope-decreased immunizations,"This study aims to under the characteristics and diversitification of Dengue speicific immunoglobulin repertoires after different immunization strategies in mouse. We propose two different immunization strategies in dengue vaccine development, one is repeated strategy, which DENV1 virus  and administrated three times. The other one is epitope-decreased sequential strategy, which sequetially administrated DENV1 virus, DENV1 E protein and DENV1 E protein domain III subunit. Overall design: C57BL/6J (B6) mice were injected with either repeated or sequential strategy.  The Dengue specific B cells were fished out from immunized mice splenocytes by Dengue Env protein probes. After cDNA and Ig specific amplification, the RNA-seq libraries were preparated and subjected to MiSeq V3 2 × 301 bp sequencing.","dengue, denv1 E, D3, b cells, spleen",GSE154371,645965,645965_whole,NA,NA,,,Yes,No,,Infection,virus,Dengue virus,Whole,NA,NA,Spleen (B cells),?,Bulk,Mus musculus
Transcriptional responses in muscle of pregnant mouse upon immunization,"Vaccination in pregnancy is an effective tool to protect both the mother and infant. Vaccines against tetanus, pertussis and influenza are recommended for use in pregnancy and new vaccines with specific indications for pregnancy are in the clinical trials pipeline. However our understanding of the immune response to vaccination in pregnancy is incomplete. We compared the effect of pregnancy on early (24 hours) transcriptional responses to vaccination. Pregnant mice and women were immunised with Boostrix-IPV, a vaccine containing pertussis antigens. Overall design: Twenty mice (10 pregnant and 10 controls) were immunised intramuscularly with Boostrix-IPV® (produced by GlaxoSmithKline containing diphtheria toxoid, tetanus toxoid, inactivated polio virus and three Bordetella pertussis antigens) or saline as an injection control. Muscle samples were collected 24 hours after immunisation and the extracted RNA was analysed by murine microarray analysis. John S. Tregoning, Department of Infectious Disease, St Mary’s Campus, Imperial College London, W2 1PG. January Weiner 3rd, Core Unit Bioinformatics, Berlin Institute of Health, Berlin, Germany","pertussis, boostrix-IPV, microarray, pregnant",GSE144218,603074,,Pregnant mice,24,Hour,,Yes,Yes,,Multiple,bacteria,Diphteria-Tetanus-Polio-Pertussis,"Boostrix (diphteria toxoid, tetanus toxoid, inactivated polio, 3 bordetella pertussis)",NA,NA,Muscle,Intramuscular,Microarray,Mus musculus
NA,"Equine herpesvirus 1 (EHV-1) is a major pathogen affecting equines worldwide and causes respiratory disease, abortion, and in some cases, neurological disease. EHV-1 strain KyA is attenuated in the mouse and equine, whereas wild-type strain RacL11 induces severe inflammatory infiltration of the lung, causing infected mice to succumb at 4 to 6 days post-infection. Our previous results showed that EHV-1 KyA immunization protected CBA mice from pathogenic RacL11 challenge at 2 and 4 weeks post-immunization, and that the infection with the attenuated KyA elicits protective humoral and cell-mediated immune responses. To investigate the protective mechanisms of EHV-1 KyA by innate immune responses, CBA mice immunized with live KyA were challenged with RacL11 at various times post-vaccination. KyA immunization effectively protected CBA mice from RacL11 challenge at 1 to 7 days post-immunization. Immunized mice lost less than 10% of their preinfection body weight and rapidly regained body weight. Lung virus titers in EHV-1 KyA-immunized CBA mice were 1,000-fold lower at 2 days post-RacL11 challenge than lungs of non-immunized mice, which was indicative of accelerated virus clearance. Affymetrix microarray analysis revealed that IFN-γ and 16 antiviral interferon-stimulated genes (ISGs) were upregulated 3.1- to 48.2-fold at 8 h post-challenge in the lungs of RacL11-challenged mice that had been immunized with KyA. Murine IFN-γinhibited EHV-1 infection of murine alveolar macrophage MH-S cells and effectively protected mice against lethal EHV-1 challenge, suggesting that IFN-γ expression may be important in mediating protection elicited by KyA immunization. These results suggest that EHV-1 KyA can be used as a live attenuated EHV-1 vaccine as well as a prophylactic agent in horses. Overall design: Lungs of CBA mice infected with EHV-1 KyA were harvested at 6 (KyA 6hpi), 8 (KyA 8hpi), and 12 (KyA 12hpi) hours post-infection (hpi). Lungs of CBA mice infected with EHV-1 RacL11 were harvested at 8 hpi (L11 8hpi).  CBA mice were immunized with EHV-1 KyA and challenged with RacL11 at 3 days post-immunization. Lungs were harvested at 8 h post-RacL11 challenge (KyA→L11 8hpi). CBA mice were immunized with heat-inactivated KyA (HI-KyA) and challenged with RacL11 at 3 days post-immunization. Lungs were harvested at 8 h post-RacL11 challenge (HI-KyA→L11 8hpi). Affymetrix microarray analyses were performed with infected mice lung RNA. Mock-infected lung RNAs were used as a control.","equine herpes virus, microarray, lungs",GSE81219,320903,,NA,NA,,,No,No,,Attenuated,virus,Equine herpes virus,Whole,NA,NA,NA,Lungs,Microarray,Mus musculus
NA,"Equine herpesvirus 1 (EHV-1) is the causative agent of a number of equine pathological states, including severe disease of the central nervous system, respiratory infections, and abortion storms. Our results showed that intranasal immunization with CpG-B oligodeoxynucleotides (ODN) protects CBA mice from lethal EHV-1 challenge. IFN-γ and seven interferon-stimulated genes (ISGs) were upregulated 39.4- to 260.3-fold at 8 h postchallenge in the lungs of RacL11-challenged mice that had been immunized with CpG-B ODN. Treatment with 20 ng/ml of IFN-γ reduced EHV-1 yield by 100-fold in MH-S at 4 days post-VZV infection compared to that of untreated cells. However, IFN-γ reduced virus yield by only 2-fold in and mouse fibroblast L-M cells. To identify IFN-γ-stimulated genes that inhibit EHV-1 replication, Affymetrix microarray analyses were performed with IFN-γ-treated MH-S and L-M cells. In MH-S cells, IFN-γ upregulated 551 genes and down-regulated 136 genes as compared to those of untreated cells. In L-M cells, IFN-γ upregulated 225 genes and downregulated 2 genes. Nine genes associated with innate immune response were significantly upregulated only in MH-S cells. Five antiviral ISGs MX1, SAMHD1, NAMPT, TREX1, and DDX60 were upregulated 3.2- to 18.1-fold only in MH-S cells. These results suggest that CpG-B ODN may be used as a prophylactic agent in horses. Overall design: Murine alveolar macrophage MH-S and mouse fibroblast L-M cells were treated with 0 or 20 ng/ml of murine IFN-γ (Cell Sciences, Canton, MA). The untreated and treated cells were harvested at 8 h post-treatment and used in DNA microarray analyses using the Affymetrix mouse Genome 430 2.0 array (Affymetrix, Santa Clara, CA).","intranasal, lethal equine herpes virus 1, challenge, cpg, microarray",GSE126813,523387,,Vaccination and challenge,NA,,,No,No,,DNA,virus,Equine herpes virus 1,CpG-B ODN,NA,CpG,NA,Intranasal,Microarray,Mus musculus
NA,"Fasciolosis remains an important food-borne tremaode disease causing high morbidity around the world and affecting grazing animals and humans. A deeper understanding concerning the molecular mechanisms by which Fasciola hepatica infection occurs as well as the molecular basis involved in acquiring protection is extremely important in designing and selecting new vaccine candidates. The present study gives a first report of microarray-based technology for describing changes in splenic gene expression profile for mice immunised with a highly effective, protection-inducing,multi-epitope, subunit-based, chemically-synthesised vaccine candidate. Female CD1 mice were immunised with synthetic peptides containing B- and T-cell epitopes as novel vaccine candidates and challenged with Fasciola hepatica metacercariae.  Spleen RNA from mice immunised with the highest protection-inducing synthetic peptides was isolated, amplified and labelled using Affymetrix standardised protocols. The Ingenuity Pathway Analysis tool was used to annotate bio-functions and constructing and visualising molecular interaction networks. Immunising mice with a combination of three peptides containing T-cell epitopes induced high protection against experimental challenge according to survival rates and hepatic damage scores. It also induced differential expression of 820 genes; 168 being up-regulated and 652 down-regulated. Functional study revealed changes in pathways related to nitric oxide and reactive oxygen species production, IL-12 signalling and production in macrophages and IL-8 signalling with up-regulation of S100A8, MMP9 and CXCR2 genes. The data obtained in the present study provided us with a more comprehensive overview concerning the possible molecular pathways implied in inducing protection against Fasciola hepatica in a murine model Overall design: Three mice were used as healthy controls and remained untreated along the experiment. Three mice were subcutaneously immunised with our vaccine candidate on day 0, and two booster doses were applied on days 14 and 28, respectively. Two-weeks after the last immunisation, all of the mice used in the present study (including controls) were humanely euthanised by intraperitoneal injection of pentobarbital (60mg/Kg) and necropsied for spleen recovery and RNA isolation using standardised protocols. Splenic gene expression profile was compared between healthy and immunised groups.","fasciola hepatica, spleen, peptides",GSE69611,285982,,NA,0//14//28,Day,,Yes,No,,Subunit,protozoa,Fasciola hepatica,Peptides,NA,NA,Spleen,?,Microarray,Mus musculus
Novel transcriptional and translational biomarkers of tularemia vaccine efficacy in a mouse inhalation model: proof of concept,"Francisella tularensis subspecies tularensis (Ftt) is extremely virulent for humans when inhaled as small particle aerosols (<5μm). Inhalation of ≥ 20 viable bacteria is sufficient to initiate infection with a mortality rate ≥30%. Consequently, in the past, Ftt became a primary candidate for biological weapons development. To counter this threat, the USA developed a live vaccine strain that showed efficacy in humans against inhalation of virulent Ftt. However, the breakthrough dose was fairly low and protection waned with time. These weaknesses triggered extensive research for better vaccine candidates. Previously, we  showed that deleting the clpB gene from virulent Ftt strain, SCHU S4,  resulted in a mutant that was significantly less virulent than LVS for mice, yet better protected them from aerosol challenge with wild-type SCHU S4.  To date, comprehensive searches for correlates of protection for SCHU S4 ΔclpB among molecules that are critical signatures of cell-mediated immunity, have yielded little reward. In this study we used transcriptomics analysis to expand the potential range of molecular correlates of protection induced by vaccination with SCHU S4 ΔclpB beyond the usual candidates.  The results provide proof-of-concept that unusual host responses to vaccination can potentially serve as novel efficacy biomarkers for new tularemia vaccines. Overall design: In this study we used transcriptomics analysis to expand the potential range of molecular correlates of protection induced by vaccination with SCHU S4 ΔclpB beyond the usual candidates.  The comparative study of transcriptomics were performed between LVS and one of the SCHU S4 deletion mutants ΔclpB, ΔgplX and ΔlpcC and all vaccinated samples compared with each other. The results provide proof-of-concept that unusual host responses to vaccination can potentially serve as novel efficacy biomarkers for new tularemia vaccines","francisella tularensis, bacteria,",GSE186408,773752,,NA,?,,,Yes,Yes,MSigDB,Attenuated,bacteria,Francisella tularensis,Whole,NA,NA,Spleen,Intradermal,Bulk,Mus musculus
NA,"Helicobacter pylori (H. pylori) colonize the stomach epithelium of half the world's population and are responsible for a variety of digestive diseases and even stomach cancer. The protection against H. pylori infection depends primarily on the antigen-mediated mucosal and T cell responses. We hypothesized that lipopeptide vaccines obtained by covalently conjugation of Pam2Cys with strong mucosal adjuvant activity to the immunodominant epitope from protective antigens could induce protective responses against H. pylori infection. In this study, the synthetic lipopeptide vaccines, Hp4 (Pam2Cys modified UreB T cell epitope) and Hp10 (Pam2Cys modified CagA T/B cell combined epitope), induced the BMDCs maturation in vitro by activating a variety of pattern recognition receptors such as TLR, NLR and RLR. In addition, lipopeptide vaccines stimulated BMDCs to secret cytokines that have the potential to modulate T cell activation and differentiation. Although intranasal immunization with Hp4 or Hp10 elicited robust epitope-specific T cell responses in mice, only Hp10 conferred protection against H. pylori infection, possibly due to the fact that Hp10 also induced substantial specific sIgA response at mucosal sites. Interestingly, when two lipopeptide vaccines were administrated in combination, Hp4 elevated the protective response against H. pylori infection of Hp10, which was characterized by better protective effect and enhanced specific T cell and mucosal antibody responses. Our results suggest that synthetic lipopeptide vaccines based on the epitopes derived from the protective antigens are promising candidates for protection against H. pylori infection. Overall design: BMDCs were co-incubated with PBS, Hp4 or Hp10 for 48 hours, and 1ml Trizol was added to each well for re-suspension before collection. RNA-seq [22] library was generated and sequenced by Shanghai Sangon. The raw data of sequencing were evaluated by FastQC. Trimmomatic was used for quality cutting to obtain relatively accurate and effective data.","h pylori, lipopeptide vaccines,",GSE218459,938108,,NA,NA,,,Yes,No,No,Subunit,bacteria,H. pylori,Lipopeptide,NA,No,NA,?,Bulk,Mus musculus
